Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,alternative term,antisymmetric property,BFO CLIF specification label,BFO OWL specification label,curator note,definition,definition source,disposition of at all times,editor note,editor preferred term,elucidation,example of usage,expand assertion to,expand expression to,first order logic expression,has associated axiom(fol),has associated axiom(nl),has axiom label,has continuant part at all times,has curation status,has disposition at some time,has ID digit count,has ID policy for,has ID prefix,has ID range allocated to,has obsolescence reason,has occurrent part,has ontology root term,has participant at all times,has participant at some time,has proper continuant part at all times,has proper occurrent part,http://attempto.ifi.uzh.ch/ace_lexicon#CN_pl,http://attempto.ifi.uzh.ch/ace_lexicon#CN_sg,http://attempto.ifi.uzh.ch/ace_lexicon#TV_pl,http://attempto.ifi.uzh.ch/ace_lexicon#TV_sg,http://attempto.ifi.uzh.ch/ace_lexicon#TV_vbg,http://data.bioontology.org/metadata/prefixIRI,http://protege.stanford.edu/plugins/owl/protege#defaultLanguage,http://purl.obolibrary.org/obo/MF#isAbout,http://purl.org/dc/elements/1.1/contributor,http://purl.org/dc/elements/1.1/coverage,http://purl.org/dc/elements/1.1/creator,http://purl.org/dc/elements/1.1/date,http://purl.org/dc/elements/1.1/description,http://purl.org/dc/elements/1.1/format,http://purl.org/dc/elements/1.1/identifier,http://purl.org/dc/elements/1.1/language,http://purl.org/dc/elements/1.1/license,http://purl.org/dc/elements/1.1/member,http://purl.org/dc/elements/1.1/publisher,http://purl.org/dc/elements/1.1/relation,http://purl.org/dc/elements/1.1/rights,http://purl.org/dc/elements/1.1/source,http://purl.org/dc/elements/1.1/subject,http://purl.org/dc/elements/1.1/title,http://purl.org/dc/elements/1.1/type,http://purl.org/dc/terms/license,http://www.geneontology.org/formats/oboInOwl#created_by,http://www.geneontology.org/formats/oboInOwl#creation_date,http://www.geneontology.org/formats/oboInOwl#hasAlternativeId,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://xmlns.com/foaf/0.1/homepage,http://xmlns.com/foaf/0.1/mbox,imported from,in branch,inheres in at all times,is allocated id range,is denotator type,material basis of at all times,may be identical to,OBO foundry unique label,ontology term requester,part of continuant at some time,part of occurrent,participates in at some time,realized in,realizes,scheduled for obsoletion on or after,term editor,term replaced by,term tracker item
http://purl.obolibrary.org/obo/IAO_8000007,curation subset ontology module,,A subset ontology that is intended as a whitelist for curators using the ontology. Such a subset will exclude classes that curators should not use for curation.|A subset ontology that is intended as a whitelist for curators using the ontology. Such a subset will exclude classes that curators should not use for curation.,false,,,http://purl.obolibrary.org/obo/IAO_8000006,,,,,,A subset ontology that is intended as a whitelist for curators using the ontology. Such a subset will exclude classes that curators should not use for curation.|A subset ontology that is intended as a whitelist for curators using the ontology. Such a subset will exclude classes that curators should not use for curation.,,,,curation subset ontology module,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAO:8000007,,,,,,,,,,,,,,,,,,,,,cjm,2018-05-20T20:58:38Z,,,,curation subset ontology module|curation subset ontology module,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/GO_0022410,circadian sleep/wake cycle process,,A behavioral process involved in the cycle from wakefulness through an orderly succession of sleep states and stages that occurs on an approximately 24 hour rhythm.,false,,,http://purl.obolibrary.org/obo/GO_0048512,,,,,,A behavioral process involved in the cycle from wakefulness through an orderly succession of sleep states and stages that occurs on an approximately 24 hour rhythm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GO:0022410,,,,,,,,,,,,,,,,,,,,,,,,,,circadian sleep/wake cycle process,,,,http://purl.obolibrary.org/obo/go.owl,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/GO_0002212,behavioral defense response to nematode,,A behavioral response seeking to protect an organism from an a perceived external threat from a nematode or nematodes to that organism.,false,,,http://purl.obolibrary.org/obo/GO_0051705|http://purl.obolibrary.org/obo/GO_0002209,,,,,,A behavioral response seeking to protect an organism from an a perceived external threat from a nematode or nematodes to that organism.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GO:0002212,,,,,,,,,,,,,,,,,,,,,,,,,,behavioral defense response to nematode,,,,http://purl.obolibrary.org/obo/go.owl,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000030,information content entity,,,false,,,http://purl.obolibrary.org/obo/BFO_0000031,,,,,,,,,,information content entity,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAO:0000030,,,,,,,,,,,,,,,,,,,,,,,,,,information content entity,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/GO_0030537,larval behavior,,"Behavior in a larval form of an organism, an immature organism that must undergo metamorphosis to assume adult characteristics.",false,,,http://purl.obolibrary.org/obo/GO_0007610,,,,,,"Behavior in a larval form of an organism, an immature organism that must undergo metamorphosis to assume adult characteristics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GO:0030537,,,,,,,,,,,,,,,,,,,,,,,,,,larval behavior,,,,http://purl.obolibrary.org/obo/go.owl,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/MF_0000012,arousal,,A mental process that is the psychological and physiological state of being awake and reactive to stimuli.,false,,,http://purl.obolibrary.org/obo/MF_0000020,,,,,,A mental process that is the psychological and physiological state of being awake and reactive to stimuli.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MF:0000012,,,,,,,,,,,,,,,,,,,,,,,,,,arousal,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/GO_0044513,envenomation resulting in modulation of G-protein coupled receptor activity in other organism,,"A process that begins with venom being forced into an organism by the bite or sting of another organism, and ends with the resultant modulation of G-protein coupled receptor activity in of the bitten organism.",false,,,http://purl.obolibrary.org/obo/GO_0044511,,,,,,"A process that begins with venom being forced into an organism by the bite or sting of another organism, and ends with the resultant modulation of G-protein coupled receptor activity in of the bitten organism.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GO:0044513,,,,,,,,,,,,,,,,,,,,,,,,,,envenomation resulting in modulation of G-protein coupled receptor activity in other organism,,,,http://purl.obolibrary.org/obo/go.owl,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NBO_0000166,circadian rhythm,,"""Endogenously driven roughly 24-hour cycle in biochemical, physiological, or behavioral processes."" [GOC:bf]",false,,,http://purl.obolibrary.org/obo/GO_0048512,,,,,,"""Endogenously driven roughly 24-hour cycle in biochemical, physiological, or behavioral processes."" [GOC:bf]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NBO:0000166,,,,,,,,,,,,,,,,,,,,,,,,,,circadian rhythm,,,,http://purl.obolibrary.org/obo/nbo.owl,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/GO_0044641,"envenomation resulting in positive regulation of complement activation, lectin pathway in other organism",,"A process that begins with venom being forced into an organism by the bite or sting of another organism, and ends with the resultant positive regulation of complement activation via the lectin pathway in the bitten/stung organism.",false,,,http://purl.obolibrary.org/obo/GO_0044639,,,,,,"A process that begins with venom being forced into an organism by the bite or sting of another organism, and ends with the resultant positive regulation of complement activation via the lectin pathway in the bitten/stung organism.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GO:0044641,,,,,,,,,,,,,,,,,,,,,,,,,,"envenomation resulting in positive regulation of complement activation, lectin pathway in other organism",,,,http://purl.obolibrary.org/obo/go.owl,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/MF_0000085,written communication,,"A written communication process is an interpersonal process that:
(a) involves as participant at least two organisms,
(b) one of whom produces a message in writing that is well-formed in a given language;
(c) the other of whom reads the message and understands it.",false,,,http://purl.obolibrary.org/obo/MF_0000086,,,,,,"A written communication process is an interpersonal process that:
(a) involves as participant at least two organisms,
(b) one of whom produces a message in writing that is well-formed in a given language;
(c) the other of whom reads the message and understands it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MF:0000085,,,,,,,,,,,,,,,,,,,,,,,,,,written communication,,,,,,,,,,,,,,,,,,,,,
